word,sent
não saber onde se meteu,-1.0
não saber patavina,-1.0
não sair da cepa torta,-1.0
não se aprender nada com,
não se mexer,-1.0
não se sair mal,1.0
não ser carne nem peixe,-1.0
não ser levado a sério,-1.0
não ser peixe nem carne,-1.0
não ter argumentos,-1.0
não ter nada na cabeça,-1.0
não ter nada nos miolos,-1.0
não ter onde cair morto,-1.0
não ter papas na língua,1.0
não ter pedalada,-1.0
não ter razão,-1.0
não ter um pingo de vergonha,-1.0
não ter um tostão,-1.0
não ter vergonha na cara,-1.0
não ter vergonha nenhuma,-1.0
não valer nada,-1.0
não ver um boi à frente dos olhos,-1.0
não ver um boi,-1.0
não ver um palmo à frente do nariz,-1.0
não virar a cara,1.0
nascer com o cu virado para a lua,1.0
número de circo,-1.0
ocultar a verdade,-1.0
olhar nos olhos,1.0
ouvir das boas,-1.0
ouvir poucas mas boas,-1.0
pagar caro,-1.0
pagar favores a,-1.0
pagar um favor a,-1.0
partir o coração a,-1.0
passar a batata quente a,-1.0
passar à frente a,1.0
passar à história,-1.0
passar a perna a,-1.0
passar cheques em branco,-1.0
passar desta para melhor,-1.0
passar dos limites,-1.0
passar fome,-1.0
passar por dificuldades,-1.0
pau de cabeleira,-1.0
pendurar as botas,-1.0
perder a cabeça,-1.0
perder a compostura,-1.0
perder a postura,-1.0
perder a razão,-1.0
perder as estribeiras,-1.0
perder o juízo,-1.0
perder o norte,-1.0
perder o pio,-1.0
perder os sentidos,-1.0
perder terreno,-1.0
perturbações de carácter,-1.0
perturbações de caráter,-1.0
picareta falante,-1.0
pisar na bola,-1.0
pisar o risco,-1.0
pobre coitado,-1.0
pobre de espírito,-1.0
pobre e mal agradecido,-1.0
pobreza de espírito,-1.0
ponto fraco,-2.0
ponto fraco,-3.0
precisar de comer farinha maizena,-1.0
pregar aos peixes,-1.0
prometer mundos e fundos,-1.0
quebrar a promessa eleitoral,-1.0
quebrar a promessa,-1.0
quebrar as regras do jogo,-1.0
quebrar as regras,-1.0
queimar tempo,-1.0
querer poleiro,-1.0
querer tacho,-1.0
renascer das cinzas,1.0
saber separar as águas,1.0
sacudir a água do capote,-1.0
sair de cabeça erguida,1.0
sair de mãos a abanar,-1.0
sair do armário,1.0
sair melhor do que a encomenda,-1.0
sair o tiro pela culatra,
sair-se bem,1.0
sair-se mal,-1.0
saltar para o poleiro,-1.0
salvar a honra do convento,1.0
seguir o caminho errado,-1.0
senhor do seu nariz,0.0
sentir dor de corno,-1.0
sentir dor de cotovelo,-1.0
sentir-se nas nuvens,1.0
ser culpa de,
ser do contra,-1.0
ser do mesmo saco,-1.0
ser farinha do mesmo saco,-1.0
ser mau como as cobras,-1.0
ser melhor do que a encomenda,-1.0
ser um homem às direitas,1.0
ser um zero à esquerda,-1.0
ser uma bela prenda,-1.0
ser uma cópia mal feita,
ser uma cópia mal produzida,
ser vítima de si próprio,-1.0
sorriso amarelo,-1.0
subir nas sondagens,1.0
tarado sexual,-1.0
ter a cabeça em água,-1.0
ter a cabeça no lugar,1.0
ter a consciência pesada,-1.0
ter a corda ao pescoço,-1.0
ter a faca e o queijo na mão,1.0
ter a lágrima ao canto do olho,-1.0
ter a razão do seu lado,1.0
ter a vida facilitada,1.0
ter as costas largas,1.0
ter as costas quentes,-1.0
ter as horas contadas,-1.0
ter boa consciência,1.0
ter culpas no cartório,-1.0
ter de comer farinha maizena,-1.0
ter dois palmos de testa,1.0
ter dor de corno,-1.0
ter dor de cotovelo,-1.0
ter falta de chá,-1.0
ter ideias,1.0
ter má consciência,-1.0
ter macacos na cabeça,-1.0
ter macacos no sótão,-1.0
ter macaquinhos na cabeça,-1.0
